presence,left,top,right,bottom,row_index,col_index,id,x,y
1,473609.9838,4434701.1748,473709.9838,4434601.1748,78,6,165,473626.6285363411,4434682.995644183
1,473709.9838,4434701.1748,473809.9838,4434601.1748,78,7,218,473718.17875424074,4434680.632622334
1,473709.9838,4434501.1748,473809.9838,4434401.1748,80,7,220,473805.0362980049,4434472.101051864
1,473809.9838,4434801.1748,473909.9838,4434701.1748,77,8,276,473815.13016493677,4434738.965504536
1,473809.9838,4434601.1748,473909.9838,4434501.1748,79,8,278,473908.58623277233,4434555.892415442
1,473909.9838,4434801.1748,474009.9838,4434701.1748,77,9,337,473942.05351212545,4434716.18349083
1,473909.9838,4434701.1748,474009.9838,4434601.1748,78,9,338,473935.74783017166,4434673.423085079
1,473909.9838,4434601.1748,474009.9838,4434501.1748,79,9,339,473942.599419476,4434508.386394343
1,474209.9838,4433501.1748,474309.9838,4433401.1748,90,12,555,474213.3968456884,4433458.550195158
1,474309.9838,4433601.1748,474409.9838,4433501.1748,89,13,628,474363.3408373441,4433520.038019075
1,474409.9838,4433601.1748,474509.9838,4433501.1748,89,14,708,474422.08479708,4433539.150951147
1,474409.9838,4433001.1748,474509.9838,4432901.1748,95,14,714,474499.1788382662,4432955.58603606
1,474509.9838,4435001.1748,474609.9838,4434901.1748,75,15,776,474595.6804700405,4434948.175268792
1,474609.9838,4435001.1748,474709.9838,4434901.1748,75,16,862,474618.98817854776,4434924.013682226
1,474609.9838,4434901.1748,474709.9838,4434801.1748,76,16,863,474631.9861001168,4434834.324860887
1,474609.9838,4434001.1748,474709.9838,4433901.1748,85,16,872,474628.99081309827,4433971.150249045
1,474609.9838,4432901.1748,474709.9838,4432801.1748,96,16,883,474662.21725387126,4432829.652915041
1,475709.9838,4435601.1748,475809.9838,4435501.1748,69,27,2100,475796.25242747023,4435593.231597985
1,475709.9838,4435501.1748,475809.9838,4435401.1748,70,27,2101,475751.49456406187,4435485.359776298
1,476709.9838,4434801.1748,476809.9838,4434701.1748,77,37,3378,476801.27912228974,4434743.5291605815
1,476809.9838,4434801.1748,476909.9838,4434701.1748,77,38,3501,476826.32621202886,4434749.158430749
1,477109.9838,4434601.1748,477209.9838,4434501.1748,79,41,3869,477144.15242283215,4434539.727405501
1,477309.9838,4433501.1748,477409.9838,4433401.1748,90,43,4123,477389.6014274843,4433486.200277072
1,477409.9838,4435101.1748,477509.9838,4435001.1748,74,44,4229,477428.75449806434,4435038.045899054
1,477409.9838,4433701.1748,477509.9838,4433601.1748,88,44,4243,477425.78782471176,4433691.044984528
1,477409.9838,4433601.1748,477509.9838,4433501.1748,89,44,4244,477499.819534493,4433530.094781965
1,477809.9838,4435301.1748,477909.9838,4435201.1748,72,48,4684,477868.8512646577,4435269.539924357
1,478109.9838,4431001.1748,478209.9838,4430901.1748,115,51,5042,478142.80632632365,4430937.282891157
1,478309.9838,4438101.1748,478409.9838,4438001.1748,44,53,5172,478371.81527373043,4438053.247656953
1,478309.9838,4431501.1748,478409.9838,4431401.1748,110,53,5238,478379.52137306315,4431448.425053821
1,478409.9838,4431501.1748,478509.9838,4431401.1748,110,54,5332,478471.0892297028,4431465.7060797
1,478409.9838,4431301.1748,478509.9838,4431201.1748,112,54,5334,478473.5886241326,4431208.953522666
1,478409.9838,4431201.1748,478509.9838,4431101.1748,113,54,5335,478492.4277755169,4431197.315754781
1,478409.9838,4431101.1748,478509.9838,4431001.1748,114,54,5336,478432.34006438084,4431094.69929243
1,478509.9838,4435901.1748,478609.9838,4435801.1748,66,55,5380,478578.9552161795,4435857.940861722
1,478509.9838,4435801.1748,478609.9838,4435701.1748,67,55,5381,478574.8926223567,4435789.926239604
1,478509.9838,4431101.1748,478609.9838,4431001.1748,114,55,5428,478570.079415496,4431033.981537656
1,478609.9838,4431601.1748,478709.9838,4431501.1748,109,56,5515,478624.7535048676,4431595.339668628
1,478609.9838,4431101.1748,478709.9838,4431001.1748,114,56,5520,478660.73439658724,4431008.4013724495
1,478609.9838,4430701.1748,478709.9838,4430601.1748,118,56,5524,478611.72789566533,4430656.884346731
1,479009.9838,4431401.1748,479109.9838,4431301.1748,111,60,5872,479014.21854766156,4431305.524829852
1,479309.9838,4433001.1748,479409.9838,4432901.1748,95,63,6113,479360.22919974505,4432923.22165531
1,480909.9838,4432501.1748,481009.9838,4432401.1748,100,79,7159,481006.88058219757,4432476.032822768
1,481009.9838,4431801.1748,481109.9838,4431701.1748,107,80,7252,481018.4563075403,4431729.599700997
1,481309.9838,4434001.1748,481409.9838,4433901.1748,85,83,7497,481376.51791544474,4433998.868198582
1,481409.9838,4434101.1748,481509.9838,4434001.1748,84,84,7584,481482.53785365005,4434047.07547029
1,481509.9838,4434001.1748,481609.9838,4433901.1748,85,85,7669,481584.0160228107,4433922.887523106
1,481509.9838,4433901.1748,481609.9838,4433801.1748,86,85,7670,481570.30887939944,4433897.947561405
1,482909.9838,4434001.1748,483009.9838,4433901.1748,85,99,8759,483001.9389392441,4433989.271418029
1,483009.9838,4434801.1748,483109.9838,4434701.1748,77,100,8807,483105.8186535417,4434799.1426190315
