Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.91086E-12,0.000000001,0.000000011,0.998697493,0,0
4.17042E-11,0.000000007,0.000000119,0.998480408,0,0
4.35269E-11,0.000000011,0.000000125,0.998371866,0,0
1.06504E-10,0.000000035,0.000000305,0.998046239,0,0
1.49787E-10,0.000000104,0.000000429,0.997503528,0,0
4.85589E-10,0.000000287,0.000001391,0.996743732,0,0
1.23809E-9,0.000001059,0.000003546,0.995658309,0,0
1.93791E-9,0.000002503,0.000005551,0.994789971,0,0
4.74907E-9,0.000010265,0.000013602,0.992510583,0,0
8.26333E-9,0.000025545,0.000023667,0.989905568,0,0
1.25924E-8,0.000051111,0.000036066,0.987083469,0,0
1.69351E-8,0.00010166,0.000048504,0.983393032,0,0
3.16583E-8,0.000251936,0.000090668,0.976446326,0,0
5.06493E-8,0.000501537,0.00014505,0.969716705,0,0
8.43789E-8,0.001008073,0.000241622,0.961576034,0,0
1.63884E-7,0.002501486,0.00046918,0.948333876,0,0
2.60549E-7,0.005021715,0.000745713,0.935417345,0,0
4.37652E-7,0.010007526,0.001251962,0.919895799,0,0
8.20542E-7,0.025044441,0.002344703,0.89417128,0,0
1.38232E-6,0.050001085,0.003943647,0.869640725,0,0
2.18767E-6,0.100209145,0.006226962,0.839031803,0,0
3.47689E-6,0.200200712,0.009860392,0.800390752,0,0
4.45332E-6,0.300334929,0.012594641,0.773038098,0,0
5.50146E-6,0.400087112,0.015512953,0.751329643,0,0
6.52781E-6,0.500281344,0.018353931,0.733203083,0,0
7.33309E-6,0.600109605,0.020571529,0.717572995,0,0
8.22782E-6,0.70031339,0.023023724,0.703571041,0,0
8.62719E-6,0.750041209,0.024114327,0.697167047,0,0
9.02064E-6,0.800347644,0.025186367,0.690980137,0,0
9.88659E-6,0.900418538,0.027537594,0.679474655,0,0
1.07664E-5,1.000402249,0.029914927,0.668946054,0,0
1.15309E-5,1.100667267,0.031971216,0.65917725,0,0
1.23076E-5,1.200549322,0.03405137,0.650059698,0,0
1.30629E-5,1.300527614,0.036065759,0.641484858,0,0
1.37961E-5,1.401147423,0.038013006,0.633344188,0,0
1.45219E-5,1.500186113,0.039933091,0.625746228,0.025,0
1.62593E-5,1.750680263,0.044497849,0.608053837,0.025,0
1.79118E-5,2.001304166,0.048799876,0.592098122,0.025,0
1.95001E-5,2.2501173,0.052898026,0.577661999,0.025,0
2.1107E-5,2.50068351,0.057008674,0.564311299,0.025,0
2.26533E-5,2.75086937,0.06093068,0.55193748,0.025,0
2.41189E-5,3.000763064,0.064617878,0.540323456,0.025,0
2.5704E-5,3.250181934,0.068573361,0.529469228,0.025,0
2.70274E-5,3.500429868,0.071850344,0.519157712,0.025,0
2.86011E-5,3.751445835,0.075717197,0.509388907,0.025,0
3.011E-5,4.000422535,0.079394495,0.500162813,0.025,0
3.13488E-5,4.252953586,0.08239202,0.491262347,0.025,0
3.28E-5,4.500282283,0.08587853,0.482904591,0.025,0
3.42336E-5,4.751006034,0.089296744,0.474763921,0.05,0
3.58571E-5,5.003180861,0.093137186,0.466948877,0.05,0
3.7323E-5,5.252405917,0.096577215,0.459568002,0.05,0
3.86064E-5,5.503140921,0.09956735,0.452404211,0.05,0
3.98477E-5,5.750317039,0.102440872,0.445566048,0.05,0
4.14448E-5,6.002311162,0.106110872,0.438836427,0.05,0
4.27702E-5,6.250734406,0.109134006,0.432432432,0.05,0
4.43496E-5,6.502888309,0.11270993,0.42613698,0.05,0
4.59068E-5,6.751468244,0.116207472,0.420167155,0.05,0
4.74296E-5,7.003743929,0.119601154,0.414305872,0.05,0
4.85107E-5,7.252979841,0.121994844,0.408661674,0.05,0
5.01396E-5,7.503904638,0.125576846,0.403126018,0.05,0
5.15338E-5,7.753108051,0.128619363,0.397807446,0.05,0
5.28528E-5,8.003414783,0.131478624,0.392597417,0.05,0
5.46005E-5,8.250229371,0.135238406,0.387604472,0.05,0
5.59279E-5,8.504521753,0.138072191,0.382611527,0.05,0
5.7578E-5,8.754016095,0.141569211,0.377835667,0.05,0
5.87236E-5,9.003627182,0.143980333,0.373168349,0.075,0
6.0412E-5,9.254172785,0.147509409,0.368609573,0.075,0
6.20132E-5,9.50543338,0.150829423,0.36415934,0.075,0
6.33464E-5,9.755746867,0.153573907,0.359817649,0.075,0
6.52115E-5,10.006506651,0.157383946,0.3555845,0.075,0
6.67413E-5,10.250616108,0.160483532,0.351568436,0.075,0
6.8402E-5,10.506808561,0.163822697,0.347443829,0.075,0
6.9863E-5,10.756326487,0.166738197,0.343536307,0.075,0
7.12931E-5,11.0037504,0.169572654,0.339737328,0.075,0
7.28218E-5,11.255956566,0.172581127,0.335938348,0.075,0
7.43716E-5,11.506038555,0.175609026,0.332247911,0.075,0
7.60901E-5,11.754906058,0.178940744,0.328666015,0.075,0
7.73933E-5,12.000451609,0.181449322,0.325192663,0.075,0
7.87998E-5,12.25036802,0.184139669,0.32171931,0.075,0
7.99777E-5,12.504404599,0.186379238,0.318245957,0.075,0
8.15949E-5,12.754445747,0.189434093,0.314881146,0.075,0
8.26475E-5,13.000948111,0.191410082,0.311624878,0.1,0
8.38605E-5,13.250758102,0.193675178,0.30836861,0.1,0
8.52012E-5,13.504406345,0.19616418,0.305112341,0.1,0
8.65983E-5,13.753527722,0.198741606,0.301964615,0.1,0
8.78411E-5,14.006409584,0.201020446,0.298816889,0.1,0
8.88595E-5,14.253851138,0.202878073,0.295777705,0.1,0
9.04217E-5,14.504980648,0.205711187,0.292738522,0.1,0
9.20083E-5,14.751210721,0.208567831,0.28980788,0.1,0
9.33541E-5,15.001484987,0.210974948,0.286877239,0.1,0
9.48338E-5,15.255776981,0.213604633,0.283946597,0.125,0
9.58587E-5,15.503723875,0.215415889,0.281124498,0.125,0
9.66267E-5,15.754011355,0.216767539,0.278302399,0.15,0
9.81684E-5,16.00736344,0.219467176,0.2754803,0.15,0
9.97575E-5,16.254812394,0.22223023,0.272766743,0.175,0
1.00599E-4,16.505222883,0.223684984,0.270053186,0.175,0
1.01776E-4,16.758111698,0.225712093,0.267339629,0.175,0
1.02513E-4,17.003187575,0.226975475,0.264734614,0.2,0
1.03752E-4,17.250698174,0.229089852,0.262129599,0.2,0
1.04834E-4,17.501099139,0.23092798,0.259524585,0.2,0
1.06063E-4,17.754020953,0.233003483,0.25691957,0.2,0
1.0797E-4,18.010468256,0.236204735,0.254314556,0.2,0
1.09217E-4,18.260463712,0.238281237,0.251818083,0.2,0
1.10806E-4,18.502848228,0.240914251,0.249430153,0.2,0
1.12087E-4,18.759349468,0.243021412,0.246933681,0.2,0
1.1353E-4,19.007696894,0.245382892,0.244545751,0.2,0
1.14593E-4,19.258282676,0.247112734,0.24215782,0.2,0
1.15824E-4,19.500427598,0.249105264,0.239878433,0.2,0
1.17305E-4,19.756744048,0.251489294,0.237490503,0.2,0
1.18877E-4,20.004835619,0.254004805,0.235211115,0.2,0
1.20111E-4,20.255824772,0.255965739,0.232931727,0.2,0
1.21803E-4,20.509795956,0.258639719,0.230652339,0.2,0
1.23097E-4,20.754745687,0.260670645,0.228481494,0.2,0
1.24351E-4,21.002208536,0.262629179,0.226310648,0.2,0
1.25844E-4,21.252152254,0.26494665,0.224139802,0.2,0
1.27124E-4,21.505313447,0.266922346,0.221968957,0.2,0
1.29219E-4,21.761426723,0.270132805,0.219798111,0.2,0
1.30567E-4,22.00847355,0.272183248,0.217735808,0.2,0
1.32512E-4,22.258496063,0.275122192,0.215673505,0.2,0
1.34089E-4,22.511597114,0.277487718,0.213611202,0.2,0
1.35154E-4,22.754148788,0.279077237,0.211657441,0.2,0
1.3703E-4,23.013167937,0.281858687,0.209595137,0.2,0
1.38224E-4,23.260948922,0.283619038,0.207641376,0.2,0
1.4003E-4,23.511592281,0.286262698,0.205687615,0.225,0
1.41064E-4,23.750498761,0.287768635,0.203842397,0.225,0
1.42456E-4,24.005938214,0.289784931,0.201888636,0.225,0
1.44418E-4,24.263689793,0.292609544,0.199934875,0.225,0
1.46396E-4,24.510895097,0.295432702,0.198089656,0.225,0
1.48029E-4,24.761311475,0.297746501,0.196244437,0.225,0
1.49365E-4,25.01403232,0.299629088,0.194399218,0.225,0
1.51283E-4,25.254788822,0.302312951,0.192662542,0.225,0
1.5289E-4,25.513183342,0.304546161,0.190817323,0.225,0
1.54416E-4,25.758946579,0.306654576,0.189080647,0.25,0
1.56091E-4,26.007470209,0.308953369,0.18734397,0.25,0
1.57533E-4,26.258417188,0.310919783,0.185607294,0.25,0
1.59587E-4,26.511985289,0.3137018,0.183870618,0.25,0
1.61362E-4,26.752731493,0.316088637,0.182242483,0.25,0
1.63345E-4,27.0125478,0.318734024,0.180505807,0.25,0
1.64154E-4,27.258289043,0.319807506,0.178877673,0.275,0
1.66258E-4,27.506441366,0.322584384,0.177249539,0.275,0
1.67788E-4,27.75688815,0.32459009,0.175621405,0.275,0
1.692E-4,28.009497564,0.326430452,0.17399327,0.3,0
1.70304E-4,28.264225812,0.327861676,0.172365136,0.3,0
1.71137E-4,28.503202074,0.328936966,0.170845544,0.3,0
1.73213E-4,28.761437925,0.331604763,0.16921741,0.3,0
1.75142E-4,29.005137162,0.334064466,0.167697818,0.3,0
1.76276E-4,29.251100491,0.335501066,0.166178226,0.3,0
1.77527E-4,29.516527959,0.337079001,0.164550092,0.3,0
1.78812E-4,29.766089611,0.338693028,0.1630305,0.3,0
1.80512E-4,30.017866975,0.340815777,0.161510908,0.3,0
1.81877E-4,30.253654305,0.34251038,0.160099859,0.3,0
1.83282E-4,30.509389262,0.34424547,0.158580267,0.3,0
1.85075E-4,30.767003966,0.346445731,0.157060675,0.3,0
1.8668E-4,31.008620624,0.348403306,0.155649626,0.3,0
1.88381E-4,31.252397621,0.350465988,0.154238576,0.3,0
1.90434E-4,31.517960862,0.3529378,0.152718984,0.3,0
1.91289E-4,31.766005504,0.353961537,0.151307934,0.3,0
1.93476E-4,32.016183957,0.356565276,0.149896885,0.3,0
1.95522E-4,32.269192607,0.358982165,0.148485835,0.3,0
1.96756E-4,32.50480337,0.360430878,0.147183328,0.3,0
1.98783E-4,32.762068453,0.362796528,0.145772278,0.3,0
1.99993E-4,33.001243181,0.364201196,0.144469771,0.3,0
2.01958E-4,33.262808189,0.366468059,0.143058721,0.3,0
2.03936E-4,33.506634503,0.368733981,0.141756214,0.325,0
2.05773E-4,33.752667031,0.370823692,0.140453707,0.325,0
2.07171E-4,34.000655575,0.372404297,0.139151199,0.325,0
2.08972E-4,34.250451422,0.374429864,0.137848692,0.325,0
2.11847E-4,34.503065275,0.377635532,0.136546185,0.325,0
2.13421E-4,34.75835809,0.379377503,0.135243677,0.325,0
2.16215E-4,35.016387353,0.38244489,0.13394117,0.325,0
2.18296E-4,35.255666997,0.38470887,0.132747205,0.325,0
2.19721E-4,35.518582769,0.386250769,0.131444698,0.325,0
2.21853E-4,35.761733534,0.388542538,0.130250733,0.325,0
2.23767E-4,36.006957857,0.39058565,0.129056768,0.325,0
2.2552E-4,36.254151369,0.392443924,0.127862803,0.325,0
2.27532E-4,36.503344502,0.394563983,0.126668838,0.325,0
2.29324E-4,36.754709339,0.396439582,0.125474872,0.325,0
2.31802E-4,37.008164014,0.399013927,0.124280907,0.325,0
2.34465E-4,37.264513489,0.401756646,0.123086942,0.325,0
2.36471E-4,37.500042028,0.403805942,0.12200152,0.325,0
2.39522E-4,37.762325297,0.406895728,0.120807555,0.325,0
2.41785E-4,38.003269031,0.409167115,0.119722132,0.325,0
2.43944E-4,38.269945195,0.411318225,0.118528167,0.325,0
2.46158E-4,38.515246682,0.413507275,0.117442744,0.325,0
2.47772E-4,38.762382765,0.415093191,0.116357321,0.325,0
2.50162E-4,39.011154414,0.417425392,0.115271898,0.325,0
2.5298E-4,39.263196401,0.42015263,0.114186476,0.325,0
2.54831E-4,39.517262941,0.421929372,0.113101053,0.325,0
2.55976E-4,39.772705604,0.42302368,0.11201563,0.325,0
2.57703E-4,40.004120078,0.42466498,0.11103875,0.325,0
2.60082E-4,40.263029235,0.426911848,0.109953327,0.325,0
2.61284E-4,40.523812691,0.428040071,0.108867904,0.325,0
2.62655E-4,40.759775234,0.429321789,0.107891024,0.325,0
2.64251E-4,41.023367029,0.430807086,0.106805601,0.35,0
2.65963E-4,41.262074992,0.43239088,0.10582872,0.35,0
2.67609E-4,41.50217171,0.433906456,0.10485184,0.375,0
2.689E-4,41.770435131,0.435088797,0.103766417,0.375,0
2.70028E-4,42.013088918,0.436117784,0.102789537,0.375,0
2.71385E-4,42.25694393,0.437350793,0.101812656,0.375,0
2.73261E-4,42.502486518,0.439047119,0.100835776,0.375,0
2.75842E-4,42.77731516,0.441363732,0.099750353,0.375,0
2.79096E-4,43.027426152,0.444256599,0.098773472,0.375,0
2.81278E-4,43.251138707,0.446180328,0.097905134,0.375,0
2.84506E-4,43.505587054,0.449002225,0.096928254,0.375,0
2.86604E-4,43.762731523,0.45082029,0.095951373,0.375,0
2.8879E-4,44.021721491,0.452701813,0.094974493,0.375,0
2.90505E-4,44.253481877,0.454169628,0.094106154,0.375,0
2.93757E-4,44.516973946,0.456930774,0.093129274,0.375,0
2.94463E-4,44.752290529,0.457526032,0.092260936,0.375,0
2.9621E-4,45.018101472,0.458994652,0.091284055,0.375,0
2.98914E-4,45.256767542,0.461252121,0.090415717,0.375,0
3.00161E-4,45.526413957,0.462286577,0.089438836,0.375,0
3.01817E-4,45.767201924,0.463654516,0.088570498,0.375,0
3.03595E-4,46.0093752,0.465115379,0.08770216,0.375,0
3.05682E-4,46.253015401,0.466820884,0.086833822,0.375,0
3.08065E-4,46.529018362,0.468753807,0.085856941,0.375,0
3.11833E-4,46.777079784,0.471782462,0.084988603,0.375,0
3.14649E-4,47.027988184,0.474023057,0.084120265,0.375,0
3.16912E-4,47.280559623,0.475810122,0.083251927,0.375,0
3.1784E-4,47.502783183,0.476539286,0.082492131,0.375,0
3.19539E-4,47.758013074,0.477869437,0.081623792,0.375,0
3.21546E-4,48.014620678,0.479432139,0.080755454,0.375,0
3.23438E-4,48.272541582,0.480896855,0.079887116,0.375,0
3.25833E-4,48.532433939,0.482738684,0.079018778,0.375,0
3.2737E-4,48.760968926,0.483913552,0.078258982,0.375,0
3.30083E-4,49.024237472,0.485974824,0.077390644,0.4,0
3.3307E-4,49.256604758,0.488225856,0.076630848,0.4,0
3.35016E-4,49.523889454,0.489681147,0.075762509,0.4,0
3.3642E-4,49.758984886,0.490726657,0.075002714,0.4,0
3.38612E-4,50.0291411,0.49234993,0.074134375,0.4,0
3.41594E-4,50.267882732,0.49454099,0.073374579,0.4,0
3.43671E-4,50.50794583,0.496056834,0.072614783,0.4,0
3.4677E-4,50.750060625,0.498300573,0.071854988,0.4,0
3.48654E-4,51.028264148,0.499655203,0.070986649,0.4,0
3.50527E-4,51.273290902,0.50099477,0.070226853,0.4,0
3.51525E-4,51.519081093,0.501705555,0.069467057,0.4,0
3.54735E-4,51.766547833,0.503978117,0.068707261,0.4,0
3.5667E-4,52.01546556,0.505337753,0.067947466,0.4,0
3.58318E-4,52.265642735,0.506490539,0.06718767,0.4,0
3.60916E-4,52.517375927,0.508295683,0.066427874,0.4,0
3.64428E-4,52.771682267,0.510715642,0.065668078,0.4,0
3.6625E-4,53.027401273,0.511962039,0.064908282,0.4,0
3.68217E-4,53.284681685,0.513300632,0.064148486,0.4,0
3.69767E-4,53.506005589,0.514349914,0.063497232,0.4,0
3.71845E-4,53.76542612,0.515749247,0.062737436,0.4,0
3.73251E-4,54.026177307,0.51669186,0.06197764,0.425,0
3.74149E-4,54.250422647,0.51729212,0.061326387,0.425,0
3.79531E-4,54.51398125,0.520857094,0.060566591,0.425,0
3.81649E-4,54.780408908,0.522246306,0.059806795,0.425,0
3.84697E-4,55.01081868,0.524230612,0.059155541,0.425,0
3.89452E-4,55.281593412,0.527293603,0.058395745,0.425,0
3.91241E-4,55.51605992,0.528435733,0.057744491,0.425,0
3.93668E-4,55.751630589,0.529976502,0.057093238,0.425,0
3.97051E-4,56.028694504,0.532107075,0.056333442,0.425,0
3.98695E-4,56.267564197,0.533135939,0.055682188,0.425,0
4.02842E-4,56.508408776,0.535710283,0.055030935,0.425,0
4.06252E-4,56.751172325,0.5378067,0.054379681,0.425,0
4.09061E-4,57.036458295,0.539519007,0.053619885,0.425,0
4.1118E-4,57.282598348,0.540801929,0.052968631,0.425,0
4.14215E-4,57.530367028,0.542627812,0.052317378,0.425,0
4.17005E-4,57.780304043,0.544293609,0.051666124,0.425,0
4.2132E-4,58.03204796,0.546845504,0.05101487,0.425,0
4.24091E-4,58.285579313,0.548469523,0.050363617,0.425,0
4.26759E-4,58.541210012,0.550022212,0.049712363,0.425,0
4.2858E-4,58.755023229,0.551076188,0.049169652,0.425,0
4.30128E-4,59.012838644,0.551967691,0.048518398,0.425,0
4.33605E-4,59.272330417,0.553957948,0.047867144,0.425,0
4.37468E-4,59.53427865,0.556148541,0.047215891,0.425,0
4.4237E-4,59.754420635,0.55889742,0.046673179,0.425,0
4.46439E-4,60.021158803,0.561153552,0.046021926,0.425,0
4.50466E-4,60.290200658,0.563363227,0.045370672,0.425,0
4.51882E-4,60.51606931,0.564135148,0.04482796,0.425,0
4.556E-4,60.788631065,0.566149107,0.044176707,0.425,0
4.57294E-4,61.016822175,0.567060621,0.043633995,0.425,0
4.59716E-4,61.292275467,0.568356665,0.042982742,0.425,0
4.6181E-4,61.522882216,0.569471402,0.04244003,0.425,0
4.62898E-4,61.754092365,0.570048083,0.041897319,0.425,0
4.67117E-4,62.033272188,0.572270381,0.041246065,0.425,0
4.69418E-4,62.267429045,0.573472731,0.040703354,0.425,0
4.71415E-4,62.502874279,0.574511261,0.040160643,0.425,0
4.7791E-4,62.787302885,0.577852712,0.039509389,0.425,0
4.83197E-4,63.02768005,0.580534197,0.038966678,0.425,0
4.86157E-4,63.26996271,0.582020382,0.038423966,0.425,0
